iter	Passed	Remaining
889	21491	2656
890	21505	2630
891	21522	2605
892	21545	2581
893	21564	2556
894	21581	2531
895	21599	2507
896	21615	2482
897	21633	2457
898	21650	2432
899	21666	2407
900	21681	2382
901	21695	2357
902	21710	2332
903	21726	2307
904	21745	2282
905	21762	2257
906	21776	2232
907	21792	2208
908	21807	2183
909	21828	2158
910	21849	2134
911	21865	2109
912	21880	2085
913	21896	2060
914	21915	2035
915	21935	2011
916	21952	1987
917	21968	1962
918	21983	1937
919	21999	1912
920	22014	1888
921	22035	1864
922	22052	1839
923	22069	1815
924	22084	1790
925	22099	1766
926	22113	1741
927	22128	1716
928	22143	1692
929	22158	1667
930	22173	1643
931	22188	1618
932	22204	1594
933	22221	1570
934	22235	1545
935	22249	1521
936	22265	1497
937	22281	1472
938	22296	1448
939	22311	1424
940	22326	1399
941	22340	1375
942	22355	1351
943	22370	1327
944	22388	1303
945	22405	1278
946	22419	1254
947	22434	1230
948	22448	1206
949	22466	1182
950	22483	1158
951	22502	1134
952	22517	1110
953	22537	1086
954	22556	1062
955	22571	1038
956	22587	1014
957	22602	990
958	22617	966
959	22631	942
960	22646	919
961	22661	895
962	22677	871
963	22691	847
964	22710	823
965	22730	800
966	22750	776
967	22766	752
968	22781	728
969	22797	705
970	22812	681
971	22826	657
972	22841	633
973	22859	610
974	22874	586
975	22889	562
976	22904	539
977	22919	515
978	22934	491
979	22950	468
980	22965	444
981	22981	421
982	22996	397
983	23010	374
984	23028	350
985	23045	327
986	23066	303
987	23094	280
988	23119	257
989	23142	233
990	23166	210
991	23187	186
992	23251	163
993	23278	140
994	23302	117
995	23321	93
996	23338	70
997	23361	46
998	23381	23
999	23400	0
