,statecounty,allrace_cvd_mortality_per_100k_2018_2020,api_cvd_mortality_per_100k_2018_2020
491,13Morgan County,359.8,
492,13Murray County,404.6,
493,13Muscogee County,498.2,223.0
494,13Newton County,369.4,218.5
495,13Oconee County,309.0,
496,13Oglethorpe County,346.3,
497,13Paulding County,352.5,137.1
498,13Peach County,456.7,223.2
499,13Pickens County,369.8,
500,13Pierce County,460.5,
501,13Pike County,329.4,
502,13Polk County,541.9,
503,13Pulaski County,409.2,
504,13Putnam County,381.9,
505,13Quitman County,437.1,
506,13Rabun County,318.3,
507,13Randolph County,352.7,
508,13Richmond County,491.0,202.7
509,13Rockdale County,313.0,156.5
510,13Schley County,310.5,
511,13Screven County,385.0,
512,13Seminole County,430.3,
513,13Spalding County,395.2,209.5
514,13Stephens County,467.6,
515,13Stewart County,309.7,
516,13Sumter County,438.5,
517,13Talbot County,413.0,
518,13Taliaferro County,377.0,
519,13Tattnall County,451.5,
520,13Taylor County,377.7,
521,13Telfair County,298.5,
522,13Terrell County,382.8,
523,13Thomas County,386.0,
524,13Tift County,484.4,
525,13Toombs County,408.1,
526,13Towns County,328.2,
527,13Treutlen County,434.5,
528,13Troup County,513.3,
529,13Turner County,455.1,
530,13Twiggs County,517.8,
531,13Union County,338.4,
532,13Upson County,556.6,
533,13Walker County,545.7,158.9
534,13Walton County,392.3,141.9
535,13Ware County,499.8,
536,13Warren County,453.7,
537,13Washington County,392.2,
538,13Wayne County,383.6,
539,13Webster County,342.7,
540,13Wheeler County,341.8,
541,13White County,314.8,
542,13Whitfield County,387.4,
543,13Wilcox County,387.0,
544,13Wilkes County,427.0,
545,13Wilkinson County,491.9,
546,13Worth County,333.5,
547,66Guam County,557.0,
548,15Hawaii County,266.6,260.7
549,15Honolulu County,232.5,219.6
550,15Kalawao County,229.7,237.0
551,15Kauai County,239.9,237.1
552,15Maui County,232.4,234.1
553,19Adair County,322.1,
554,19Adams County,393.9,
555,19Allamakee County,416.2,
556,19Appanoose County,397.7,
557,19Audubon County,298.5,
558,19Benton County,316.5,
559,19Black Hawk County,320.2,
560,19Boone County,357.0,185.2
561,19Bremer County,317.5,
562,19Buchanan County,317.0,
563,19Buena Vista County,327.7,
564,19Butler County,351.8,
565,19Calhoun County,339.7,
566,19Carroll County,311.6,
567,19Cass County,391.3,
568,19Cedar County,293.5,120.6
569,19Cerro Gordo County,361.3,
570,19Cherokee County,332.8,
571,19Chickasaw County,442.4,
572,19Clarke County,385.2,
573,19Clay County,324.4,
574,19Clayton County,298.4,
575,19Clinton County,352.7,
576,19Crawford County,267.3,
577,19Dallas County,274.8,174.9
578,19Davis County,372.9,
579,19Decatur County,400.4,
580,19Delaware County,317.4,
581,19Des Moines County,354.0,
582,19Dickinson County,319.9,
583,19Dubuque County,304.2,
584,19Emmet County,334.6,
585,19Fayette County,384.7,
586,19Floyd County,348.7,
587,19Franklin County,354.1,
588,19Fremont County,320.6,
589,19Greene County,306.9,
590,19Grundy County,364.9,
591,19Guthrie County,274.5,
592,19Hamilton County,295.9,
593,19Hancock County,357.6,
594,19Hardin County,369.1,
595,19Harrison County,299.5,
596,19Henry County,377.7,
597,19Howard County,538.2,
598,19Humboldt County,338.5,
599,19Ida County,333.4,
600,19Iowa County,327.7,
601,19Jackson County,326.5,
602,19Jasper County,282.2,211.6
603,19Jefferson County,382.6,
604,19Johnson County,277.7,143.6
605,19Jones County,305.7,
606,19Keokuk County,313.5,
607,19Kossuth County,340.5,
608,19Lee County,422.7,
609,19Linn County,294.9,184.1
610,19Louisa County,301.3,
611,19Lucas County,362.1,
612,19Lyon County,249.1,
613,19Madison County,291.3,202.4
614,19Mahaska County,409.0,
615,19Marion County,330.0,225.3
616,19Marshall County,469.1,
617,19Mills County,286.4,
618,19Mitchell County,390.4,
619,19Monona County,540.8,
620,19Monroe County,423.3,
621,19Montgomery County,465.6,
622,19Muscatine County,302.8,181.5
